VIDEO,VIEWS,LINK,RECORDER
CMP203 Introduction,64,https://web.microsoftstream.com/video/7d1dcfad-2acc-4c0a-9f7b-70f3966fc5da,Christopher Acornley
Lecture CMP203 - Introduction to 3D,205,https://web.microsoftstream.com/video/473e23f9-fd50-4fd7-8a34-3d964c69db66 ,Christopher Acornley
Lecture 2 CMP203 - Transforms and Hierarchical Modelling,237,https://web.microsoftstream.com/video/9faf572c-34bc-4201-95d2-8c8fd7e2372c ,Christopher Acornley
Lecture 3 CMP203: Lighting Part 1,186,https://web.microsoftstream.com/video/377cd55a-9313-499e-a9b3-ac08b9866204 ,Gareth Robinson
Lecture 4 CMP203 Lighting Part 2,162,https://web.microsoftstream.com/video/82818e5d-b9df-47be-99f8-0a4c9582fe70 ,Christopher Acornley
CMP203 #05: Texturing,179,https://web.microsoftstream.com/video/a8414b6e-fe97-4b57-a6d4-99711ba359b2,Gareth Robinson
CMP203 Lecture - Camera,193,https://web.microsoftstream.com/video/2c92b9dd-9bdf-4c2f-bc7a-13f61668dd90 ,Christopher Acornley
CMP203 #07: The Depth Buffer,135,https://web.microsoftstream.com/video/a395ad77-294c-4f65-898a-a6b5b2a11f51  ,Gareth Robinson
CMP203 Lecture - Vertex Arrays,195,https://web.microsoftstream.com/video/fc8e108b-5f4b-43a4-b4b1-8dd89be38ae4,Christopher Acornley
CMP203 #09: Model Loading,125,https://web.microsoftstream.com/video/ef37d39c-ee4f-4573-a584-e96a8ea2244b,Gareth Robinson
CMP203 Lecture - Stencil Buffer,124,https://web.microsoftstream.com/video/287eb88c-bd72-4432-bbf5-96d83953a5ad ,Christopher Acornley
CMP203 #11: Shadows,105,https://web.microsoftstream.com/video/50b85eec-98a3-4144-b235-bccd37981613 ,Gareth Robinson
CMP203 - Revision and Billboarding,63,https://web.microsoftstream.com/video/38252436-33fe-4108-be54-181a11104a1b ,Christopher Acornley
