USERNAME,GRADE,SYMBOL,2020-2021\registers\1330 25102021.txt,2020-2021\registers\1400 25112020.txt,2020-2021\registers\1500 2392021.txt,2020-2021\registers\1500 Thursday 2392021.txt,2020-2021\registers\900 25112020.txt,2020-2021\registers\930 2392020.txt,ATTENDANCE PERCENT,ATTENDANCE EXPECTED PERCENT,PRACTICAL PERCENT,LECTURE PERCENT,ACTIVITY COUNT,NORMALISED ACTIVITY COUNT
00f03376049456c0b2f0344c95c9cc23ce7af9a2cd92bd55fbf6609ca5affec3,4.0,A,1,0,0,0,0,0,17.0,17.0,,17.0,1238,0.9975490196078431
60b9d04c38a97cdb8df1660aef443b5a45dce1b6cc29cfdc832be8a0c8889dfa,2.0,C,1,0,0,0,0,1,33.0,33.0,,33.0,515,0.4068627450980392
9e7441e3add34877f8554a44fee650c64675387835e14608e503884a0fd8dc25,3.0,B,0,0,0,0,0,0,0.0,0.0,,0.0,126,0.08905228758169935
0f978df1b89d13c6e66f612afdc4dd11b1ff5ca345e05a04a0043248a6e3ee44,3.0,B,0,0,0,1,0,0,17.0,17.0,,17.0,282,0.21650326797385622
b750bab917157aeb6cc00efae88746ea5bb4ad5563136118ad00a7de1d0c2980,2.5,C+,0,0,0,0,0,0,0.0,0.0,,0.0,396,0.309640522875817
ec6280cacc0fce033cae359e8f15c3b033286aae9381f2168ccbde4f82d4a0b3,3.5,B+,1,0,0,0,0,0,17.0,17.0,,17.0,419,0.3284313725490196
6954ba960b2b871708474818a921577b0ff2e85a9260748fe1cb27c380025152,3.0,B,1,0,0,0,0,0,17.0,17.0,,17.0,487,0.3839869281045752
403e91662455288df9e654ca58c3d330126e65a0f0a0d7bb7cdcc1f3cb8af14a,2.5,C+,1,0,0,1,0,0,33.0,33.0,,33.0,333,0.2581699346405229
0d9f653f9bb8c4c4613621fc727d06aca6c7ccc697033c2fd9ac410847f86dd4,1.5,D+,1,1,0,0,0,0,33.0,33.0,,33.0,369,0.2875816993464052
d40e0a3a33426b0c4b6e9a094bb6b00a2a88645528d9d2ae53461cb1d5227161,2.0,C,1,0,0,0,0,0,17.0,17.0,,17.0,126,0.08905228758169935
3f99e70a75b31fce8c06300c840e760e2cb70090a325123fcc2144a4f01c6b2a,1.5,D+,1,0,0,0,0,0,17.0,17.0,,17.0,639,0.5081699346405228
be4e0763e40db4221908174faffc365629ad264f6632f56cfa33aad2d837db3f,1.5,D+,1,0,0,0,0,0,17.0,17.0,,17.0,508,0.4011437908496732
eb57483e124c53ffb0795d28150e00b2815c4ff306ffae283d40dcfa22b9ab8b,1.5,D+,0,0,0,0,0,0,0.0,0.0,,0.0,441,0.3464052287581699
b97d2108f77906300a72bd8a03385ef8b86221b948c4098733eb933fe5275f99,4.0,A,0,0,0,0,0,1,17.0,17.0,,17.0,321,0.24836601307189543
2c166b12b26657dfab2bb85e70fa50cb3da63b47bfe16a459fcff59ec63cf0de,2.5,C+,1,0,0,0,0,0,17.0,17.0,,17.0,1241,1.0
0500eba35807b47c913b831243e918ded684e48856ebe4649b2abb1ab27c543c,0.0,NS,0,0,0,0,0,0,0.0,0.0,,0.0,187,0.1388888888888889
59e37abafd2ff3fdc6af59617f677aceeec1817e4f1dec03a28f825d1858a714,0.0,NS,0,0,0,0,0,0,0.0,0.0,,0.0,17,0.0
3f659b5dd5001420595b0bcdc57b5cfb78e6df39deaeeb8b63835d6b8d604601,3.5,B+,0,0,0,0,0,1,17.0,17.0,,17.0,296,0.22794117647058823
845dada9ccf011f69f998225403f95114a3f467c55344d9491867ae2e05249c8,2.5,C+,1,0,0,0,0,0,17.0,17.0,,17.0,312,0.24101307189542484
b4fe417277040b875be397c19ecd77ca808119bf91530ee00056a0cefa16500f,2.5,C+,1,0,0,0,0,0,17.0,17.0,,17.0,163,0.119281045751634
950c1736f42a100e764ebb3dcb989a8a89f4412e70ea26c20db6e7f5026ec6b9,0.5,MF,0,0,0,0,1,0,17.0,17.0,,17.0,415,0.32516339869281047
15d9be1699c6c27aaac057c99cebbea198ddb1654b012d04bedb2e8f09588261,2.0,C,1,0,0,0,0,0,17.0,17.0,,17.0,203,0.15196078431372548
7a090fcefe530723b24f9ec8131d30517e8ebc47212712273fa5ad804c4bbc2e,0.5,MF,0,0,0,0,0,0,0.0,0.0,,0.0,224,0.16911764705882354
b7148a54a7f1df6d0fe1690997a43b3459265486df680be79db71971f1a555bb,4.5,A+,0,0,0,0,0,1,17.0,17.0,,17.0,274,0.2099673202614379
a3add073b91d74aa1ac5cf7df18c98c008783b08bc21a6d2a0dfca133252492e,4.5,A+,1,0,1,0,0,0,33.0,33.0,,33.0,1156,0.9305555555555556
31b43beee12368535decaa7dfb0adaf5fc0c96f11ffcfc95b4cf22f002a03e16,2.5,C+,1,0,0,0,0,0,17.0,17.0,,17.0,384,0.29983660130718953
e14e4a5e9e8b300d2dd2ab9d556b7416856e1e7899dabe54fcc49c262d347e8d,1.0,D,0,0,0,0,0,0,0.0,0.0,,0.0,273,0.20915032679738563
d58b7a0cfa2d6f5c26c8180e7a3bc5d6189ab49abc2ce0b8e4d5726cdca0fa3e,2.0,C,0,0,0,0,0,0,0.0,0.0,,0.0,1027,0.8251633986928104
54c56068e798f8c612a7776e44d8b1a75a6bc53c0bbceb1c5f017685fd137545,2.0,C,1,0,0,0,0,0,17.0,17.0,,17.0,605,0.4803921568627451
dfdd5fd6fc088e75289f486e9ab5a1be72874dbb744c94dd80e79a764924db0a,3.5,B+,1,0,0,0,0,0,17.0,17.0,,17.0,406,0.31781045751633985
6c823e09218c51e634580936399555ae55564b2b8ce81637af20001ad1abbedc,3.5,B+,1,0,0,0,0,0,17.0,17.0,,17.0,224,0.16911764705882354
ec689a8d137ac6dbc89cf77da9aaf846db44a854e0458460c35822a35e68aafd,3.5,B+,0,0,0,0,0,1,17.0,17.0,,17.0,134,0.09558823529411764
b543c5900548caf84608bf8bcde609077fcaa596dcf1b11f5041e63ffa0465f8,2.0,C,0,0,0,0,0,0,0.0,0.0,,0.0,501,0.3954248366013072
811372929586161c14cdfd6183626c90967452283196d715c56179d6b99c4ab4,4.0,A,1,0,0,0,0,0,17.0,17.0,,17.0,270,0.20669934640522875
73b5c885035a66441644a4977da2b367a6e2491cbd5344c1a2ef5b0a7d7c24e3,4.0,A,1,0,0,0,0,0,17.0,17.0,,17.0,311,0.24019607843137256
7089d7d6446bb47e575d9d7a283543a57cc6224cc58a455161117c80e4b093b4,3.0,B,1,0,0,0,0,0,17.0,17.0,,17.0,478,0.37663398692810457
349e2e253e387e7297975cf4a2d975c19d26f4cd93deb05f4e922feb8deb5cb1,1.0,D,1,0,0,0,0,1,33.0,33.0,,33.0,879,0.704248366013072
181e82523e30e12b8f97610b5e1ac7ffe21798eb2840203a4b71672cff9c14c9,0.0,NS,0,0,0,0,0,0,0.0,0.0,,0.0,109,0.07516339869281045
357c1db8f394fb42421357bfe2bce2e67aa6bf428e1aa8623f03a2ac60f71c7c,1.5,D+,0,0,0,0,0,1,17.0,17.0,,17.0,229,0.17320261437908496
1623307dea45dbd3f5999f347f1517f9cb659b605a3902a46bc6058e5baef108,1.5,D+,1,0,0,0,0,0,17.0,17.0,,17.0,227,0.1715686274509804
046ce53ca88a797e59a79e966ac43bdd32576c20bd31dc62639d9fe6bed9130e,0.0,NS,0,0,0,0,0,0,0.0,0.0,,0.0,19,0.0016339869281045752
fbcff483f4e7064e087b777341b79a1f86b28277c5febe913a1ae21df3456ff8,3.5,B+,1,0,0,0,0,0,17.0,17.0,,17.0,370,0.2883986928104575
62ce9b1e3abdb23d4118d0c8e969f4d0f80319275a9ec043d3e547dac15e2541,4.0,A,1,0,0,0,0,0,17.0,17.0,,17.0,357,0.2777777777777778
e0ec25d1cc624826d72a2cdddf7f6511e5ea6cfb5baf47731e878bd2005ae3f9,2.5,C+,0,0,0,0,0,1,17.0,17.0,,17.0,180,0.13316993464052287
d0c2aeef7d16268534e699ffd96c5eadbb5fd778bc4d28e575459bb996994dc0,2.5,C+,0,0,0,0,0,0,0.0,0.0,,0.0,306,0.2361111111111111
b4d8bb448a8789f1df8e9b26d4251a2e2e756ab02e2426d80f5ae716d312a6d2,3.5,B+,1,0,0,0,0,0,17.0,17.0,,17.0,252,0.1919934640522876
5aea52728994a925946e44cd226263d0bac5017badc476121469e2979742d5cd,2.0,C,0,0,0,0,0,0,0.0,0.0,,0.0,311,0.24019607843137256
e2a71c0e6faa3db0e2e7ce113622e59d7a13b1a688bf7c4ee65d25611feafb5b,0.0,F,0,0,0,0,0,0,0.0,0.0,,0.0,215,0.16176470588235295
d6c9c24167286d49159c0cf40ad09f0d7f8e7644bd16577b34663a30655bffcd,2.0,C,1,0,0,0,1,1,50.0,50.0,,50.0,254,0.19362745098039216
44c4012304bfddbe2eff100d657fea7c16743bc41d7adf0c84811e3f08fad800,3.0,B,0,0,0,0,0,1,17.0,17.0,,17.0,412,0.3227124183006536
692aa5731637bc06800c0f06081d66c78117f30b4db83d2c46156aeea5822f10,1.0,D,0,0,0,0,0,0,0.0,0.0,,0.0,405,0.31699346405228757
4ae563ff3a9bf80a02537033003dfcff86ceee0a063ddc97e97af0b3ab597018,2.0,C,0,0,0,0,0,0,0.0,0.0,,0.0,160,0.11683006535947713
d7a3949b633d4c2526d07a0c162f3fa03204c253fa1a10115ccc8fee8ab60d95,2.0,C,1,0,0,0,1,0,33.0,33.0,,33.0,337,0.26143790849673204
