USERNAME,GRADE,SYMBOL,2021-2022\registers\1130 10112021 - Practical2.txt,2021-2022\registers\1130 1122021 - Practical2.txt,2021-2022\registers\1130 13102021 - Practical2.txt,2021-2022\registers\1130 17112021 - Practical2.txt,2021-2022\registers\1130 20102021 - Practical2.txt,2021-2022\registers\1130 2292021 - Practical2.txt,2021-2022\registers\1130 27102021 - Practical2.txt,2021-2022\registers\1130 2992021 - Practical2.txt,2021-2022\registers\1130 3112021 - Practical2.txt,2021-2022\registers\1130 6102021 - Practical2.txt,2021-2022\registers\1130 8122021 - Practical2.txt,2021-2022\registers\1200 24112021 - Practical2.txt,2021-2022\registers\1300 11102021 - Lecture.txt,2021-2022\registers\1300 1112021 - Lecture.txt,2021-2022\registers\1300 15112021 - Lecture.txt,2021-2022\registers\1300 22112021 - Lecture.txt,2021-2022\registers\1300 25102021 - Lecture.txt,2021-2022\registers\1300 2792021 - Lecture.txt,2021-2022\registers\1300 29112021 - Lecture.txt,2021-2022\registers\1300 6122021 - Lecture.txt,2021-2022\registers\1330 8112021 - Lecture.txt,2021-2022\registers\900 10112021 - Practical1.txt,2021-2022\registers\900 1122021 - Practical1.txt,2021-2022\registers\900 13102021 - Practical1.txt,2021-2022\registers\900 17112021 - Practical1.txt,2021-2022\registers\900 20102021 - Practical1.txt,2021-2022\registers\900 2292021 - Practical1.txt,2021-2022\registers\900 24112021 - Practical1.txt,2021-2022\registers\900 27102021 - Practical1.txt,2021-2022\registers\900 2992021 - Practical1.txt,2021-2022\registers\900 3112021 - Practical1.txt,2021-2022\registers\900 6102021 - Practical1.txt,2021-2022\registers\900 8122021 - Practical1.txt,ATTENDANCE PERCENT,ATTENDANCE EXPECTED PERCENT,PRACTICAL PERCENT,LECTURE PERCENT,ACTIVITY COUNT,NORMALISED ACTIVITY COUNT
a04270837ecd613bf6e106e059b735541edea00e519a6cf6f619393480d61da1,2.5,C+,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58.0,38.0,92.0,89.0,0,0.0
ceb2b4ac59f16453002274ded159eb5d972a96e323c2f9d15329a0d1809baf07,4.5,A+,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,29.0,42.0,67.0,47,0.34057971014492755
48b091b68b8d301bdb0d5bccf728caecc3edbafdeec4a0b8fc694929619ce5d3,4.0,A,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,5.0,83.0,11.0,37,0.26811594202898553
23524e26dc59c7e11b0e2a276bdb189c529d828623a47956272cd042bc7b5b4d,4.0,A,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,19.0,58.0,44.0,22,0.15942028985507245
952fe1e3720b2a023d64689ea210c8fd25f63432f6b560a380dfbe1233ef8a70,2.5,C+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,21.0,33.0,58.0,0.0,43,0.3115942028985507
1eb4ce6cddfa3bfd1d2eaea6b48a959af0fbca89784fc7480652f9bd5a13820b,4.0,A,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0,43.0,8.0,100.0,21,0.15217391304347827
e254d34a0176cbc6fdc73491e748b1739318251f782e7abacdf1420f364c1b2c,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,29.0,0.0,67.0,23,0.16666666666666666
3978681b2cd2346ff3a997048d445fef4316a2db24fc3a554e3eaa2958dc4ca8,3.0,B,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,5.0,67.0,11.0,49,0.35507246376811596
181e82523e30e12b8f97610b5e1ac7ffe21798eb2840203a4b71672cff9c14c9,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0,19.0,0.0,44.0,11,0.07971014492753623
c6ed488a5ed3bb2f3006fd0b51079a70db9427e7a063b2f0f220471d43a85b88,4.0,A,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,42.0,67.0,58.0,78.0,49,0.35507246376811596
24e2377906ff28a0d28b2160e4475a72343d622023f41a38c5c5aab1596f451c,2.0,C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,64.0,43.0,108.0,89.0,41,0.2971014492753623
dff99767ec52a93da51339fd930e5ae030a658c69d527e72e24f554bb91d5f14,0.0,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,24.0,38.0,67.0,0.0,42,0.30434782608695654
f7f74d7fe474d06d947f65ef3c570ca73c0ebebad2c106fb0b58867cc1fce36c,4.0,A,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,64.0,95.0,100.0,100.0,138,1.0
3fd02643a203df973fd90923c30f0b7c198660f77cfadddaaa108232c7724743,4.0,A,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,24.0,38.0,8.0,78.0,21,0.15217391304347827
3f5d189d4197456535324dd77c9721cfe41c3f2d64f672d52b595e5f8546a26e,3.5,B+,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,19.0,50.0,44.0,64,0.463768115942029
8a93a42c390071d2d26e9ae266fab7d019839fffd9893d2c524a8ddd247da521,4.5,A+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,5.0,8.0,0.0,22,0.15942028985507245
4a440e7c097d7f4392f18d2aab138db41b8a3c41e221287684abe8b2f79f937f,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,30.0,48.0,17.0,89.0,43,0.3115942028985507
075137dc4aa311004eab4683b45c9de29b23249eb97a0131c70bbfd084224733,4.5,A+,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,42.0,62.0,67.0,67.0,64,0.463768115942029
2870b2a08262b6510253f3756c85e107bbe289ae49829628222f900cf8f7f215,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,48.0,76.0,67.0,89.0,102,0.7391304347826086
eeefe73ff810ae9df1c490198071fc5ab2430e7c3fdfb4db04a9cf2f10275f49,2.0,C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64.0,43.0,100.0,100.0,132,0.9565217391304348
271302ba6d0b21d1d73eed4072250f46cadb544e27218ea4e8dfc01b0a97e4d3,3.0,B,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,61.0,43.0,92.0,100.0,1,0.007246376811594203
ca7e2b5fcdb77453c9e12606d1068e3033cbdd60613e0d92cdaa0472db6b39b1,3.5,B+,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,24.0,42.0,56.0,92,0.6666666666666666
f9cd2fdcb584308de3246be22a58d49b5e33be4479d675b84dc9cb594702dfea,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64.0,100.0,100.0,100.0,124,0.8985507246376812
04dc913d9027d6f95733d4ff2e56616b5fc08c3fc29e4bef3c1d52301a01c416,3.5,B+,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,25.0,0.0,52,0.37681159420289856
07049f666493687c1f5604dade55acdc841ff0f57c0d4a2549c0232178e3a4de,2.0,C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64.0,43.0,100.0,100.0,52,0.37681159420289856
