USERNAME,GRADE,SYMBOL,2022-2023\registers\1100 10112022 - Practical - Group B.txt,2022-2023\registers\1100 13102022 - Practical - Group B.txt,2022-2023\registers\1100 17112022 - Practical - Group B.txt,2022-2023\registers\1100 20102022 - Practical - Group B.txt,2022-2023\registers\1100 2292022 - Practical - Group B.txt,2022-2023\registers\1100 24112022 - Practical - Group B.txt,2022-2023\registers\1100 27102022 - Practical - Group B.txt,2022-2023\registers\1100 2992022 - Practical - Group B.txt,2022-2023\registers\1100 3112022 - Practical - Group B.txt,2022-2023\registers\1100 6102022 - Practical - Group B.txt,2022-2023\registers\1130 8122022 - Practical - Group B.txt,2022-2023\registers\900 10102022 - Lecture.txt,2022-2023\registers\900 10112022 - Practical - Group A.txt,2022-2023\registers\900 13102022 - Practical - Group A.txt,2022-2023\registers\900 14112022 - Lecture.txt,2022-2023\registers\900 17112022 - Practical - Group A.txt,2022-2023\registers\900 20102022 - Practical - Group A.txt,2022-2023\registers\900 21112022 - Lecture.txt,2022-2023\registers\900 24102022 - Lecture.txt,2022-2023\registers\900 24112022 - Practical - Group A.txt,2022-2023\registers\900 2692022 - Lecture.txt,2022-2023\registers\900 27102022 - Practical - Group A.txt,2022-2023\registers\900 28112022 - Lecture.txt,2022-2023\registers\900 2992022 - Practical - Group A.txt,2022-2023\registers\900 3102022 - Lecture.txt,2022-2023\registers\900 31102022 - Lecture.txt,2022-2023\registers\900 3112022 - Practical - Group A.txt,2022-2023\registers\900 5122022 - Lecture.txt,2022-2023\registers\900 6102022 - Practical - Group A.txt,2022-2023\registers\900 7112022 - Lecture.txt,2022-2023\registers\930 8122022 - Practical - Group A.txt,2022-2023\registers\900 22092022 - Practical - Group A.txt,ATTENDANCE TOTAL,ATTENDANCE PERCENT
838ea162df9121ea4a6341c5d2c9c3a02635c2a94bc1bda493b02c69c61a5ac1,0.5,MF,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,10,48
7ec7412b1bf528ea84551d5ef407d4b1682132332245e4e53d24abf89c78bf88,0,NS,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,24
27236d85b5cf1188e8c3463424492a2824177173174e027b98ac37c57f33b6e7,0.5,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,19
58fc7252c4698e1d0427ea8cb512bfb73e06609906d546a967b30dc26776789d,0,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b29002793a1dd918a94aee2ff621e967bbd34581abf16364a96960172259c9e6,3,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,10
f3705cb75787168c6ba62ca249ac9ce0e2922bc3c1c8d9f6e39d3e9de653c2e4,2.5,C+,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,15,71
6e50b8a21c42d2d134205526ddff1607469bc40d58b3e5bd1df1a0836db83582,2,C,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,62
ed42a0433cdd2a93dfc53ac9163d96b69d3331e57b52b7dcca60eda5a52fb495,2.5,C+,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,8,38
8250bcbf8f6a8197bee2b5dcd40ba978a029dbd8108e611e6b0dde6ac98af7b3,0,NS,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,12,57
691ad63dc7e140c3b644504fab4df6840632638d7a26e78b331c726957f280ef,0,NS,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,11,52
